TIME ms,IN-Nor
500,-0.191775553
499.512,0.259363447
499.023,0.179750447
498.535,0.153213447
498.047,0.365514447
497.559,0.179750447
497.07,0.285901447
496.582,-0.351001553
496.094,0.285901447
495.605,-0.351001553
495.117,-0.006012553
494.629,0.365514447
494.141,-0.112162553
493.652,0.206288447
493.164,-0.404076553
492.676,0.206288447
492.188,-0.324463553
491.699,0.047062447
491.211,-0.165237553
490.723,-0.218313553
490.234,-0.297926553
489.746,-0.271388553
489.258,0.100137447
488.77,-0.351001553
488.281,-0.218313553
487.793,-0.112162553
487.305,-0.244850553
486.816,-0.112162553
486.328,-0.218313553
485.84,0.259363447
485.352,-0.351001553
484.863,-0.138700553
484.375,-0.059087553
483.887,-0.191775553
483.398,0.126675447
482.91,-0.297926553
482.422,0.312438447
481.934,-0.271388553
481.445,0.418589447
480.957,0.073600447
480.469,0.179750447
479.98,0.365514447
479.492,-0.165237553
479.004,0.338976447
478.516,0.100137447
478.027,0.285901447
477.539,0.285901447
477.051,-0.006012553
476.563,0.153213447
476.074,0.126675447
475.586,0.259363447
475.098,0.020525447
474.609,0.259363447
474.121,0.338976447
473.633,0.259363447
473.145,0.232826447
472.656,-0.112162553
472.168,0.338976447
471.68,-0.297926553
471.191,0.153213447
470.703,-0.324463553
470.215,-0.059087553
469.727,0.312438447
469.238,-0.271388553
468.75,0.285901447
468.262,-0.430613553
467.773,-0.032549553
467.285,-0.191775553
466.797,-0.324463553
466.309,-0.138700553
465.82,-0.324463553
465.332,-0.059087553
464.844,-0.297926553
464.355,-0.191775553
463.867,-0.085625553
463.379,-0.377538553
462.891,0.047062447
462.402,-0.165237553
461.914,0.259363447
461.426,-0.244850553
460.938,0.285901447
460.449,-0.271388553
459.961,-0.218313553
459.473,0.100137447
458.984,-0.404076553
458.496,0.073600447
458.008,-0.271388553
457.52,0.445126447
457.031,-0.191775553
456.543,0.338976447
456.055,0.418589447
455.566,0.179750447
455.078,0.232826447
454.59,0.073600447
454.102,0.259363447
453.613,0.020525447
453.125,0.285901447
452.637,0.365514447
452.148,-0.112162553
451.66,0.259363447
451.172,-0.032549553
450.684,0.126675447
450.195,0.312438447
449.707,0.285901447
449.219,0.285901447
448.73,-0.297926553
448.242,0.365514447
447.754,-0.244850553
447.266,-0.032549553
446.777,-0.430613553
446.289,-0.032549553
445.801,-0.138700553
445.313,-0.430613553
444.824,0.232826447
444.336,-0.297926553
443.848,0.073600447
443.359,-0.191775553
442.871,-0.218313553
442.383,-0.297926553
441.895,-0.324463553
441.406,0.047062447
440.918,-0.377538553
440.43,-0.138700553
439.941,-0.112162553
439.453,-0.271388553
438.965,-0.112162553
438.477,-0.112162553
437.988,0.206288447
437.5,-0.324463553
437.012,0.206288447
436.523,-0.138700553
436.035,0.206288447
435.547,0.047062447
435.059,-0.351001553
434.57,0.232826447
434.082,-0.324463553
433.594,0.418589447
433.105,0.047062447
432.617,0.232826447
432.129,0.285901447
431.641,0.153213447
431.152,0.312438447
430.664,-0.006012553
430.176,0.312438447
429.688,0.179750447
429.199,0.047062447
428.711,0.073600447
428.223,0.179750447
427.734,0.259363447
427.246,-0.085625553
426.758,0.285901447
426.27,-0.191775553
425.781,0.232826447
425.293,0.259363447
424.805,0.020525447
424.316,0.365514447
423.828,-0.324463553
423.34,0.179750447
422.852,-0.351001553
422.363,-0.032549553
421.875,-0.165237553
421.387,-0.191775553
420.898,0.126675447
420.41,-0.430613553
419.922,0.047062447
419.434,-0.191775553
418.945,-0.351001553
418.457,-0.191775553
417.969,-0.324463553
417.48,-0.006012553
416.992,-0.324463553
416.504,0.285901447
416.016,-0.112162553
415.527,-0.404076553
415.039,-0.006012553
414.551,-0.218313553
414.063,0.259363447
413.574,-0.244850553
413.086,0.312438447
412.598,-0.297926553
412.109,0.206288447
411.621,0.020525447
411.133,0.285901447
410.645,0.100137447
410.156,-0.297926553
409.668,0.392051447
409.18,-0.165237553
408.691,0.285901447
408.203,0.365514447
407.715,0.153213447
407.227,0.179750447
406.738,-0.032549553
406.25,0.285901447
405.762,-0.032549553
405.273,0.232826447
404.785,0.285901447
404.297,-0.085625553
403.809,0.232826447
403.32,-0.032549553
402.832,0.126675447
402.344,-0.430613553
401.855,0.338976447
401.367,-0.351001553
400.879,-0.271388553
400.391,0.285901447
399.902,-0.244850553
399.414,0.020525447
398.926,-0.377538553
398.438,0.047062447
397.949,-0.244850553
397.461,-0.404076553
396.973,-0.059087553
396.484,-0.297926553
395.996,0.047062447
395.508,-0.244850553
395.02,-0.191775553
394.531,-0.324463553
394.043,-0.297926553
393.555,-0.006012553
393.066,-0.324463553
392.578,0.020525447
392.09,-0.165237553
391.602,0.418589447
391.113,-0.112162553
390.625,-0.165237553
390.137,0.179750447
389.648,-0.324463553
389.16,0.365514447
388.672,-0.138700553
388.184,0.285901447
387.695,0.100137447
387.207,0.285901447
386.719,0.259363447
386.23,-0.244850553
385.742,0.445126447
385.254,0.020525447
384.766,0.206288447
384.277,0.338976447
383.789,0.100137447
383.301,0.285901447
382.813,-0.191775553
382.324,0.312438447
381.836,-0.165237553
381.348,0.073600447
380.859,0.020525447
380.371,0.153213447
379.883,0.259363447
379.395,-0.006012553
378.906,0.259363447
378.418,-0.218313553
377.93,0.259363447
377.441,-0.324463553
376.953,0.020525447
376.465,0.365514447
375.977,-0.324463553
375.488,0.259363447
375,-0.351001553
374.512,-0.006012553
374.023,-0.218313553
373.535,-0.112162553
373.047,-0.191775553
372.559,-0.457151553
372.07,0.073600447
371.582,-0.191775553
371.094,-0.297926553
370.605,-0.191775553
370.117,-0.297926553
369.629,-0.085625553
369.141,-0.324463553
368.652,0.259363447
368.164,-0.165237553
367.676,0.338976447
367.188,0.020525447
366.699,0.312438447
366.211,0.153213447
365.723,-0.271388553
365.234,0.285901447
364.746,-0.324463553
364.258,0.206288447
363.77,0.020525447
363.281,0.312438447
362.793,0.126675447
362.305,0.179750447
361.816,0.471664447
361.328,-0.138700553
360.84,0.232826447
360.352,0.312438447
359.863,0.153213447
359.375,0.232826447
358.887,-0.059087553
358.398,0.285901447
357.91,-0.138700553
357.422,0.179750447
356.934,-0.244850553
356.445,-0.032549553
355.957,0.232826447
355.469,0.020525447
354.98,0.179750447
354.492,-0.377538553
354.004,0.312438447
353.516,-0.324463553
353.027,-0.218313553
352.539,-0.271388553
352.051,-0.244850553
351.563,0.047062447
351.074,-0.377538553
350.586,0.126675447
350.098,-0.244850553
349.609,-0.377538553
349.121,-0.112162553
348.633,-0.244850553
348.145,-0.218313553
347.656,-0.218313553
347.168,0.206288447
346.68,-0.377538553
346.191,-0.244850553
345.703,-0.006012553
345.215,-0.297926553
344.727,-0.059087553
344.238,-0.165237553
343.75,0.418589447
343.262,-0.191775553
342.773,0.259363447
342.285,0.179750447
341.797,-0.377538553
341.309,0.312438447
340.82,-0.218313553
340.332,0.312438447
339.844,0.100137447
339.355,0.338976447
338.867,0.285901447
338.379,0.047062447
337.891,0.445126447
337.402,0.020525447
336.914,0.232826447
336.426,0.338976447
335.938,0.126675447
335.449,0.285901447
334.961,-0.191775553
334.473,0.259363447
333.984,-0.191775553
333.496,0.259363447
333.008,-0.218313553
332.52,0.153213447
332.031,0.259363447
331.543,0.073600447
331.055,0.338976447
330.566,-0.218313553
330.078,0.312438447
329.59,-0.351001553
329.102,0.047062447
328.613,-0.324463553
328.125,-0.191775553
327.637,-0.006012553
327.148,-0.297926553
326.66,0.047062447
326.172,-0.218313553
325.684,-0.085625553
325.195,-0.138700553
324.707,-0.404076553
324.219,0.020525447
323.73,-0.191775553
323.242,0.153213447
322.754,-0.218313553
322.266,0.338976447
321.777,-0.138700553
321.289,-0.404076553
320.801,0.206288447
320.313,-0.191775553
319.824,0.312438447
319.336,-0.032549553
318.848,0.285901447
318.359,0.047062447
317.871,0.365514447
317.383,0.285901447
316.895,-0.377538553
316.406,0.179750447
315.918,0.020525447
315.43,0.418589447
314.941,0.100137447
314.453,0.259363447
313.965,0.498201447
313.477,0.047062447
312.988,0.285901447
312.5,-0.112162553
312.012,0.206288447
311.523,0.206288447
311.035,0.020525447
310.547,0.285901447
310.059,-0.112162553
309.57,0.259363447
309.082,-0.244850553
308.594,0.020525447
308.105,-0.377538553
307.617,-0.006012553
307.129,0.232826447
306.641,-0.404076553
306.152,0.312438447
305.664,-0.404076553
305.176,-0.165237553
304.688,-0.271388553
304.199,-0.218313553
303.711,0.047062447
303.223,-0.377538553
302.734,0.073600447
302.246,-0.244850553
301.758,-0.404076553
301.27,-0.138700553
300.781,-0.191775553
300.293,-0.218313553
299.805,-0.244850553
299.316,0.126675447
298.828,-0.457151553
298.34,0.153213447
297.852,-0.085625553
297.363,-0.324463553
296.875,-0.085625553
296.387,-0.191775553
295.898,0.365514447
295.41,-0.351001553
294.922,0.285901447
294.434,0.100137447
293.945,0.312438447
293.457,0.232826447
292.969,0.259363447
292.48,0.312438447
291.992,-0.032549553
291.504,0.392051447
291.016,0.232826447
290.527,0.047062447
290.039,0.445126447
289.551,0.153213447
289.063,0.338976447
288.574,-0.351001553
288.086,0.232826447
287.598,-0.218313553
287.109,-0.191775553
286.621,0.312438447
286.133,-0.059087553
285.645,0.312438447
285.156,-0.191775553
284.668,0.153213447
284.18,-0.324463553
283.691,0.100137447
283.203,-0.244850553
282.715,-0.244850553
282.227,0.338976447
281.738,-0.351001553
281.25,0.020525447
280.762,-0.351001553
280.273,-0.191775553
279.785,0.020525447
279.297,-0.297926553
278.809,-0.085625553
278.32,-0.271388553
277.832,0.206288447
277.344,-0.112162553
276.855,-0.377538553
276.367,-0.059087553
275.879,-0.218313553
275.391,0.179750447
274.902,-0.244850553
274.414,0.285901447
273.926,-0.085625553
273.438,0.471664447
272.949,0.153213447
272.461,-0.218313553
271.973,0.285901447
271.484,-0.112162553
270.996,0.259363447
270.508,-0.006012553
270.02,0.392051447
269.531,0.259363447
269.043,0.232826447
268.555,0.179750447
268.066,0.100137447
267.578,0.392051447
267.09,0.020525447
266.602,0.312438447
266.113,0.471664447
265.625,0.073600447
265.137,0.259363447
264.648,-0.059087553
264.16,0.206288447
263.672,-0.297926553
263.184,0.100137447
262.695,0.285901447
262.207,-0.085625553
261.719,0.312438447
261.23,-0.191775553
260.742,0.047062447
260.254,-0.404076553
259.766,0.100137447
259.277,-0.244850553
258.789,-0.377538553
258.301,-0.112162553
257.813,-0.377538553
257.324,-0.165237553
256.836,-0.324463553
256.348,-0.191775553
255.859,0.047062447
255.371,-0.351001553
254.883,0.047062447
254.395,-0.271388553
253.906,0.100137447
253.418,-0.112162553
252.93,-0.165237553
252.441,-0.191775553
251.953,-0.218313553
251.465,0.073600447
250.976563,-0.351001553
250.488281,0.206288447
250,-0.112162553
249.511719,0.418589447
249.023437,-0.032549553
248.535,0.232826447
248.047,0.285901447
247.559,-0.404076553
247.07,0.206288447
246.582,0.020525447
246.094,0.365514447
245.605,0.232826447
245.117,0.285901447
244.629,0.338976447
244.141,-0.112162553
243.652,0.392051447
243.164,-0.059087553
242.676,0.100137447
242.187,0.392051447
241.699,0.126675447
241.211,0.259363447
240.723,-0.351001553
240.234,0.232826447
239.746,-0.218313553
239.258,-0.138700553
238.77,-0.377538553
238.281,-0.032549553
237.793,0.285901447
237.305,-0.218313553
236.816,0.206288447
236.328,-0.297926553
235.84,0.073600447
235.352,-0.271388553
234.863,-0.218313553
234.375,-0.324463553
233.887,-0.377538553
233.398,0.179750447
232.91,-0.404076553
232.422,-0.138700553
231.934,-0.059087553
231.445,-0.324463553
230.957,-0.059087553
230.469,-0.244850553
229.98,0.206288447
229.492,-0.112162553
229.004,0.365514447
228.516,-0.059087553
228.027,-0.244850553
227.539,0.126675447
227.051,-0.271388553
226.562,0.285901447
226.074,-0.059087553
225.586,0.445126447
225.098,0.126675447
224.609,0.153213447
224.121,0.259363447
223.633,0.047062447
223.145,0.259363447
222.656,-0.032549553
222.168,0.338976447
221.68,0.259363447
221.191,0.206288447
220.703,0.179750447
220.215,0.100137447
219.727,0.392051447
219.238,-0.085625553
218.75,0.338976447
218.262,0.365514447
217.773,0.100137447
217.285,0.206288447
216.797,-0.085625553
216.309,0.206288447
215.82,-0.218313553
215.332,0.179750447
214.844,-0.351001553
214.355,-0.032549553
213.867,-0.271388553
213.379,-0.085625553
212.891,0.100137447
212.402,-0.404076553
211.914,0.100137447
211.426,-0.271388553
210.937,-0.351001553
210.449,-0.112162553
209.961,-0.377538553
209.473,0.126675447
208.984,-0.377538553
208.496,-0.218313553
208.008,-0.059087553
207.52,-0.377538553
207.031,0.073600447
206.543,-0.271388553
206.055,0.073600447
205.566,-0.112162553
205.078,0.259363447
204.59,-0.218313553
204.102,0.259363447
203.613,0.073600447
203.125,-0.324463553
202.637,0.232826447
202.148,-0.112162553
201.66,0.418589447
201.172,-0.085625553
200.684,0.232826447
200.195,0.232826447
199.707,0.100137447
199.219,0.206288447
198.73,-0.085625553
198.242,0.259363447
197.754,0.206288447
197.266,0.206288447
196.777,0.285901447
196.289,-0.112162553
195.801,0.418589447
195.312,-0.085625553
194.824,0.126675447
194.336,-0.351001553
193.848,0.153213447
193.359,0.259363447
192.871,-0.324463553
192.383,0.285901447
191.895,-0.165237553
191.406,-0.032549553
190.918,-0.351001553
190.43,0.100137447
189.941,-0.404076553
189.453,-0.165237553
188.965,-0.085625553
188.477,-0.297926553
187.988,0.126675447
187.5,-0.297926553
187.012,-0.085625553
186.523,-0.404076553
186.035,-0.377538553
185.547,0.126675447
185.059,-0.377538553
184.57,0.020525447
184.082,-0.059087553
183.594,-0.297926553
183.105,-0.191775553
182.617,-0.271388553
182.129,0.179750447
181.641,-0.085625553
181.152,0.285901447
180.664,-0.085625553
180.176,0.285901447
179.687,0.126675447
179.199,0.338976447
178.711,0.259363447
178.223,-0.059087553
177.734,0.418589447
177.246,0.047062447
176.758,0.179750447
176.27,0.259363447
175.781,0.100137447
175.293,0.232826447
174.805,-0.218313553
174.316,0.232826447
173.828,0.179750447
173.34,0.232826447
172.852,0.153213447
172.363,0.020525447
171.875,0.418589447
171.387,-0.085625553
170.898,0.312438447
170.41,-0.324463553
169.922,0.100137447
169.434,-0.324463553
168.945,-0.085625553
168.457,0.232826447
167.969,-0.165237553
167.48,0.259363447
166.992,-0.324463553
166.504,0.047062447
166.016,-0.271388553
165.527,-0.059087553
165.039,-0.112162553
164.551,-0.430613553
164.062,0.232826447
163.574,-0.324463553
163.086,-0.351001553
162.598,-0.191775553
162.109,-0.324463553
161.621,0.047062447
161.133,-0.377538553
160.645,0.259363447
160.156,-0.138700553
159.668,0.259363447
159.18,0.020525447
158.691,-0.218313553
158.203,-0.112162553
157.715,-0.138700553
157.227,0.285901447
156.738,-0.271388553
156.25,0.206288447
155.762,0.100137447
155.273,0.365514447
154.785,0.153213447
154.297,0.126675447
153.809,0.445126447
153.32,-0.112162553
152.832,0.285901447
152.344,0.259363447
151.855,0.179750447
151.367,0.206288447
150.879,-0.032549553
150.391,0.259363447
149.902,-0.351001553
149.414,0.232826447
148.926,0.285901447
148.437,-0.085625553
147.949,0.418589447
147.461,-0.138700553
146.973,0.126675447
146.484,-0.404076553
145.996,0.073600447
145.508,-0.297926553
145.02,-0.244850553
144.531,-0.218313553
144.043,-0.165237553
143.555,0.020525447
143.066,-0.324463553
142.578,0.100137447
142.09,-0.404076553
141.602,-0.112162553
141.113,-0.138700553
140.625,-0.297926553
140.137,-0.138700553
139.648,-0.377538553
139.16,-0.059087553
138.672,-0.457151553
138.184,-0.377538553
137.695,0.073600447
137.207,-0.377538553
136.719,0.047062447
136.23,-0.112162553
135.742,0.338976447
135.254,-0.271388553
134.766,0.312438447
134.277,0.126675447
133.789,-0.138700553
133.301,0.206288447
132.812,-0.112162553
132.324,0.312438447
131.836,0.020525447
131.348,0.418589447
130.859,0.232826447
130.371,-0.059087553
129.883,0.392051447
129.395,0.047062447
128.906,0.285901447
128.418,0.338976447
127.93,0.232826447
127.441,0.285901447
126.953,-0.218313553
126.465,0.285901447
125.977,-0.165237553
125.488,0.232826447
125,-0.191775553
124.512,0.100137447
124.023,0.365514447
123.535,-0.085625553
123.047,0.206288447
122.559,-0.324463553
122.07,0.100137447
121.582,-0.297926553
121.094,-0.085625553
120.605,-0.297926553
120.117,-0.138700553
119.629,0.020525447
119.141,-0.297926553
118.652,-0.112162553
118.164,-0.297926553
117.676,-0.059087553
117.187,-0.112162553
116.699,-0.404076553
116.211,0.047062447
115.723,-0.351001553
115.234,0.232826447
114.746,-0.218313553
114.258,-0.297926553
113.77,0.020525447
113.281,-0.377538553
112.793,0.259363447
112.305,-0.191775553
111.816,0.232826447
111.328,-0.006012553
110.84,0.365514447
110.352,-0.138700553
109.863,0.338976447
109.375,0.232826447
108.887,-0.297926553
108.398,0.179750447
107.91,0.020525447
107.422,0.445126447
106.934,-0.006012553
106.445,0.259363447
105.957,0.445126447
105.469,-0.112162553
104.98,0.285901447
104.492,0.206288447
104.004,0.206288447
103.516,0.232826447
103.027,0.020525447
102.539,0.259363447
102.051,-0.351001553
101.562,0.259363447
101.074,-0.218313553
100.586,-0.059087553
100.098,-0.377538553
99.609,-0.138700553
99.121,0.126675447
98.633,-0.404076553
98.145,0.073600447
97.656,-0.324463553
97.168,-0.218313553
96.68,-0.244850553
96.191,-0.218313553
95.703,0.020525447
95.215,-0.351001553
94.727,0.126675447
94.238,-0.351001553
93.75,-0.085625553
93.262,-0.138700553
92.773,-0.271388553
92.285,-0.085625553
91.797,-0.404076553
91.309,0.179750447
90.82,-0.377538553
90.332,0.206288447
89.844,0.047062447
89.355,-0.404076553
88.867,0.020525447
88.379,-0.165237553
87.891,0.259363447
87.402,-0.297926553
86.914,0.365514447
86.426,0.126675447
85.937,0.179750447
85.449,0.179750447
84.961,-0.138700553
84.473,0.259363447
83.984,-0.112162553
83.496,0.445126447
83.008,0.259363447
82.52,0.047062447
82.031,0.312438447
81.543,0.020525447
81.055,0.232826447
80.566,-0.404076553
80.078,0.206288447
79.59,0.338976447
79.102,-0.218313553
78.613,0.232826447
78.125,-0.059087553
77.637,0.285901447
77.148,-0.191775553
76.66,0.073600447
76.172,-0.351001553
75.684,-0.085625553
75.195,-0.324463553
74.707,-0.244850553
74.219,0.153213447
73.73,-0.324463553
73.242,-0.059087553
72.754,-0.404076553
72.266,-0.165237553
71.777,-0.032549553
71.289,-0.297926553
70.801,0.206288447
70.312,-0.297926553
69.824,-0.059087553
69.336,-0.112162553
68.848,-0.404076553
68.359,0.047062447
67.871,-0.377538553
67.383,0.312438447
66.895,-0.191775553
66.406,0.285901447
65.918,0.100137447
65.43,0.392051447
64.941,0.206288447
64.453,-0.191775553
63.965,0.232826447
63.477,-0.059087553
62.988,0.365514447
62.5,-0.138700553
62.012,0.338976447
61.523,0.232826447
61.035,0.206288447
60.547,0.179750447
60.059,-0.059087553
59.57,0.445126447
59.082,-0.006012553
58.594,0.285901447
58.105,0.392051447
57.617,-0.085625553
57.129,0.285901447
56.641,-0.085625553
56.152,0.232826447
55.664,-0.191775553
55.176,0.126675447
54.687,0.338976447
54.199,-0.297926553
53.711,0.285901447
53.223,-0.138700553
52.734,-0.006012553
52.246,-0.404076553
51.758,-0.006012553
51.27,-0.297926553
50.781,-0.404076553
50.293,0.153213447
49.805,-0.244850553
49.316,-0.191775553
48.828,-0.297926553
48.34,-0.138700553
47.852,-0.059087553
47.363,-0.404076553
46.875,0.126675447
46.387,-0.351001553
45.898,0.047062447
45.41,-0.165237553
44.922,-0.271388553
44.434,-0.138700553
43.945,-0.351001553
43.457,0.206288447
42.969,-0.324463553
42.48,0.232826447
41.992,0.047062447
41.504,0.392051447
41.016,0.020525447
40.527,-0.244850553
40.039,0.259363447
39.551,-0.271388553
39.062,0.365514447
38.574,0.047062447
38.086,0.206288447
37.598,0.073600447
37.109,0.179750447
36.621,0.285901447
36.133,-0.218313553
35.645,0.445126447
35.156,0.285901447
34.668,0.073600447
34.18,0.338976447
33.691,0.020525447
33.203,0.259363447
32.715,-0.324463553
32.227,0.338976447
31.738,-0.165237553
31.25,0.047062447
30.762,-0.191775553
30.273,0.020525447
29.785,0.338976447
29.297,-0.165237553
28.809,0.206288447
28.32,-0.351001553
27.832,-0.059087553
27.344,-0.297926553
26.855,-0.165237553
26.367,-0.271388553
25.879,-0.271388553
25.391,-0.006012553
24.902,-0.351001553
24.414,-0.138700553
23.926,-0.059087553
23.437,-0.297926553
22.949,0.100137447
22.461,-0.377538553
21.973,0.232826447
21.484,-0.191775553
20.996,0.312438447
20.508,-0.059087553
20.02,-0.377538553
19.531,0.285901447
19.043,-0.218313553
18.555,0.312438447
18.066,0.126675447
17.578,0.338976447
17.09,0.153213447
16.602,0.153213447
16.113,0.285901447
15.625,-0.112162553
15.137,0.365514447
14.648,-0.165237553
14.16,0.259363447
13.672,0.100137447
13.184,0.232826447
12.695,0.206288447
12.207,-0.032549553
11.719,0.498201447
11.23,-0.191775553
10.742,0.259363447
10.254,0.392051447
9.766,-0.006012553
9.277,0.285901447
8.789,-0.138700553
8.301,0.312438447
7.812,-0.165237553
7.324,0.206288447
6.836,-0.244850553
6.348,-0.297926553
5.859,0.312438447
5.371,-0.059087553
4.883,-0.006012553
4.395,-0.404076553
3.906,0.047062447
3.418,-0.351001553
2.93,-0.404076553
2.441,-0.085625553
1.953,-0.191775553
1.465,0.126675447
0.977,-0.324463553
0.488,-0.138700553
